loyer,nombre_piece,annee_publication,jour_publication,mois_publication,type_logement,standing,commune,quartier,nb_loyer,lien
0711640500,,2023.0,22.0,2.0,immeuble,,,,,https://facebook.com/2846273362275508/posts/3544469269122577
,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544406072462230
,4,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544396115796559
5990,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544393455796825
,4,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544390585797112
-Chauf,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544365689132935
,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544356269133877
,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544329032469934
,QUATRE,2023.0,22.0,2.0,,,koumassi,,,https://facebook.com/2846273362275508/posts/3544317675804403
,,2023.0,22.0,2.0,,,koumassi,,,https://facebook.com/2846273362275508/posts/3544304055805765
Prix:15000fr,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544278785808292
20,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544270092475828
,3,2023.0,22.0,2.0,appartement,,,,,https://facebook.com/2846273362275508/posts/3544256205810550
,,2023.0,22.0,2.0,,,,,,https://facebook.com/2846273362275508/posts/3544228229146681
,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918491592908684
,,2023.0,22.0,2.0,,,koumassi,,,https://facebook.com/700424108048768/posts/918447952913048
,,2023.0,22.0,2.0,,,koumassi,,,https://facebook.com/700424108048768/posts/918424699582040
,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918413339583176
250.000f,3,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918409882916855
20,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918393429585167
+225.05.75.98.72.00,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918360699588440
,,2023.0,22.0,2.0,immeuble,,,,,https://facebook.com/700424108048768/posts/918304766260700
MC_*00,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918299949594515
MC_*00,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918299539594556
MC_*00,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918299456261231
MC_*00,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918298646261312
MC_*00,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918297802928063
,,2023.0,20.0,2.0,,,koumassi,,,https://facebook.com/700424108048768/posts/917015859722924
5,05,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918279879596522
golf,,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918255079599002
70,3,2023.0,22.0,2.0,,,,,,https://facebook.com/700424108048768/posts/918252589599251
40000f,,2023.0,17.0,2.0,maison basse,,koumassi,,,https://facebook.com/271673048071162/posts/686311953273934
170.000,,2023.0,22.0,2.0,,,,,,https://facebook.com/271673048071162/posts/689595789612217
170.000,,2023.0,22.0,2.0,,,,,,https://facebook.com/271673048071162/posts/689593459612450
